Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
10.400,21.193,1.119,2.023,2208.130,998.850,-1.196,4.48,4.48,65.50,65.29,5.748,8.16,5.760,5.761,
10.500,21.188,1.190,2.145,2340.834,998.906,-1.141,4.45,4.45,64.23,65.18,5.736,8.15,5.749,5.749,
10.600,21.180,1.293,2.320,2533.296,998.986,-1.061,4.53,4.53,63.81,70.77,6.226,8.16,6.240,6.240,
10.700,21.174,1.346,2.410,2631.955,999.028,-1.019,4.47,4.47,63.54,73.32,6.449,8.15,6.463,6.463,
10.800,21.168,1.410,2.518,2750.121,999.079,-0.970,4.46,4.46,63.29,68.00,5.980,8.16,5.993,5.993,
10.900,21.163,1.460,2.602,2842.222,999.118,-0.931,4.44,4.44,63.49,62.44,5.490,8.15,5.502,5.502,
11.000,21.151,1.564,2.776,3033.349,999.200,-0.849,4.40,4.40,62.10,65.70,5.773,8.14,5.786,5.786,
11.100,21.124,1.782,3.139,3431.956,999.372,-0.678,4.35,4.35,60.11,67.39,5.917,8.15,5.930,5.930,
11.200,21.047,2.388,4.131,4523.957,999.848,-0.201,4.27,4.27,55.76,70.43,6.170,8.15,6.183,6.183,
11.300,21.019,2.627,4.515,4948.459,1000.036,-0.014,4.23,4.23,53.71,71.14,6.227,8.15,6.241,6.241,
11.400,20.992,2.878,4.918,5393.425,1000.233,0.183,4.07,4.07,48.05,61.07,5.341,8.15,5.352,5.352,
11.500,20.930,3.447,5.816,6387.722,1000.678,0.627,3.89,3.89,42.02,68.74,5.998,8.15,6.011,6.011,
11.600,20.833,4.313,7.156,7878.516,1001.355,1.304,3.80,3.80,39.30,65.20,5.671,8.15,5.684,5.684,
11.700,20.636,5.667,9.191,10167.142,1002.424,2.372,3.77,3.77,36.07,66.85,5.787,8.15,5.799,5.799,
11.800,20.593,5.775,9.345,10347.826,1002.516,2.463,3.79,3.79,35.13,67.56,5.850,8.17,5.863,5.863,
11.900,20.558,6.040,9.737,10791.047,1002.725,2.672,3.80,3.80,34.27,70.45,6.095,8.15,6.109,6.109,
12.000,20.499,7.262,11.536,12803.932,1003.662,3.609,3.73,3.73,33.87,65.53,5.638,8.15,5.650,5.650,
12.100,20.425,7.630,12.057,13406.891,1003.957,3.904,3.74,3.74,34.75,75.21,6.463,8.15,6.477,6.477,
12.200,20.375,7.894,12.430,13838.301,1004.169,4.115,3.75,3.75,35.22,72.55,6.230,8.15,6.244,6.244,
12.300,20.338,8.061,12.664,14110.775,1004.304,4.249,3.79,3.79,35.30,74.86,6.426,8.16,6.440,6.440,
12.400,20.310,8.272,12.961,14452.088,1004.470,4.415,3.81,3.81,35.84,72.52,6.220,8.15,6.233,6.233,
12.500,20.291,8.373,13.103,14617.122,1004.551,4.496,3.80,3.80,35.84,69.16,5.931,8.16,5.944,5.943,
12.600,20.217,10.459,16.063,17951.628,1006.145,6.090,3.69,3.69,35.28,75.25,6.383,8.14,6.397,6.396,
12.700,20.108,11.712,17.785,19929.257,1007.118,7.062,3.62,3.62,33.84,80.69,6.803,8.14,6.818,6.817,
12.800,19.973,12.661,19.048,21416.527,1007.867,7.811,3.58,3.58,32.74,67.12,5.639,8.16,5.651,5.651,
12.900,19.704,15.454,22.735,25732.911,1010.044,9.987,3.50,3.50,31.85,76.28,6.326,8.15,6.339,6.339,
13.000,19.555,16.975,24.690,28050.429,1011.230,11.173,3.41,3.41,31.02,78.01,6.427,8.15,6.441,6.441,
13.100,19.410,18.374,26.458,30167.505,1012.325,12.268,3.29,3.29,30.88,76.10,6.230,8.15,6.244,6.244,
13.200,19.118,20.606,29.181,33518.592,1014.087,14.029,3.05,3.05,32.75,67.72,5.500,8.15,5.512,5.512,
13.300,18.872,25.104,34.712,40120.956,1017.564,17.506,3.09,3.09,41.54,65.90,5.229,8.15,5.240,5.239,
13.400,18.528,27.591,37.518,43747.086,1019.541,19.483,3.55,3.55,60.42,63.20,4.962,8.15,4.972,4.972,
