Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
13.900,18.184,28.398,38.217,44958.092,1020.240,20.180,3.62,3.62,68.90,69.55,5.472,8.11,5.483,5.483,
14.000,18.103,28.709,38.524,45415.474,1020.497,20.437,3.72,3.72,73.48,70.50,5.549,8.11,5.560,5.560,
14.100,18.016,28.856,38.628,45640.641,1020.631,20.569,3.96,3.96,78.13,66.70,5.256,8.11,5.266,5.266,
14.200,17.997,28.896,38.660,45700.324,1020.666,20.604,3.90,3.90,79.71,73.05,5.763,8.11,5.774,5.774,
14.300,17.980,28.978,38.745,45821.141,1020.733,20.671,3.93,3.93,84.77,69.22,5.466,8.11,5.477,5.477,
14.400,17.977,29.006,38.775,45860.589,1020.755,20.693,4.02,4.02,86.84,79.30,6.265,8.11,6.277,6.277,
14.500,17.974,29.015,38.784,45874.850,1020.764,20.701,4.09,4.09,87.16,74.33,5.871,8.11,5.883,5.882,
14.600,17.971,29.056,38.830,45933.133,1020.796,20.733,4.02,4.02,87.10,73.29,5.792,8.11,5.802,5.802,
14.700,17.969,29.083,38.861,45972.444,1020.818,20.754,4.06,4.06,87.76,73.65,5.821,8.11,5.832,5.832,
14.800,17.967,29.079,38.855,45967.348,1020.816,20.751,4.16,4.16,89.16,76.95,6.083,8.11,6.095,6.094,
14.900,17.963,29.097,38.873,45993.714,1020.831,20.766,4.14,4.14,92.94,67.24,5.316,8.12,5.325,5.325,
15.000,17.963,29.089,38.863,45981.556,1020.825,20.760,4.11,4.11,92.72,68.26,5.396,8.11,5.406,5.406,
15.100,17.964,29.086,38.861,45976.924,1020.822,20.757,4.10,4.10,93.87,80.41,6.356,8.11,6.367,6.367,
15.200,17.965,29.091,38.867,45984.213,1020.827,20.761,4.14,4.14,94.25,82.35,6.506,8.11,6.519,6.519,
15.300,17.962,29.104,38.881,46003.470,1020.838,20.771,4.03,4.03,94.01,75.53,5.969,8.11,5.981,5.981,
15.400,17.962,29.118,38.897,46023.420,1020.849,20.782,4.12,4.12,96.18,69.64,5.504,8.11,5.515,5.515,
15.500,17.960,29.134,38.915,46046.423,1020.862,20.795,4.26,4.26,100.22,69.52,5.496,8.11,5.506,5.506,
15.600,17.959,29.136,38.917,46049.496,1020.864,20.796,4.25,4.25,101.42,70.05,5.539,8.11,5.549,5.549,
15.700,17.958,29.152,38.934,46072.508,1020.877,20.809,4.27,4.27,103.96,68.28,5.399,8.11,5.409,5.409,
15.800,17.957,29.167,38.952,46094.521,1020.890,20.821,4.30,4.30,104.25,72.92,5.765,8.11,5.776,5.776,
15.900,17.959,29.170,38.957,46098.245,1020.892,20.823,4.40,4.40,104.92,72.27,5.711,8.11,5.721,5.721,
16.000,17.959,29.168,38.954,46095.068,1020.890,20.821,4.27,4.27,103.91,84.52,6.681,8.11,6.694,6.693,
16.100,17.958,29.128,38.906,46038.923,1020.861,20.791,4.28,4.28,104.88,77.21,6.105,8.11,6.117,6.117,
16.200,17.957,29.136,38.916,46050.766,1020.868,20.797,4.28,4.28,104.06,73.88,5.842,8.11,5.853,5.853,
16.300,17.957,29.146,38.927,46064.186,1020.875,20.804,4.36,4.36,104.67,78.25,6.187,8.11,6.198,6.198,
16.400,17.956,29.143,38.924,46061.415,1020.874,20.803,4.33,4.33,104.72,78.86,6.236,8.11,6.248,6.248,
16.500,17.955,29.152,38.933,46074.116,1020.882,20.810,4.40,4.40,105.52,73.82,5.837,8.11,5.848,5.848,
16.600,17.954,29.154,38.934,46076.859,1020.884,20.812,4.33,4.33,108.50,75.14,5.942,8.11,5.954,5.954,
16.700,17.952,29.156,38.935,46080.775,1020.887,20.814,4.40,4.40,110.48,73.58,5.819,8.11,5.830,5.830,
16.800,17.950,29.157,38.935,46082.435,1020.888,20.815,4.47,4.47,111.70,76.50,6.049,8.11,6.061,6.061,
16.900,17.950,29.155,38.932,46079.143,1020.887,20.813,4.40,4.40,112.14,76.00,6.010,8.11,6.021,6.021,
17.000,17.950,29.156,38.934,46080.930,1020.888,20.814,4.52,4.52,110.74,69.39,5.488,8.11,5.498,5.498,
17.100,17.950,29.156,38.934,46081.061,1020.889,20.814,4.50,4.50,109.34,71.40,5.647,8.11,5.658,5.658,
17.200,17.950,29.155,38.933,46079.135,1020.888,20.813,4.46,4.46,110.37,75.30,5.956,8.11,5.967,5.967,
17.300,17.950,29.153,38.930,46076.026,1020.887,20.812,4.53,4.53,109.96,77.40,6.122,8.11,6.134,6.133,
17.400,17.950,29.151,38.928,46074.404,1020.886,20.811,4.49,4.49,109.08,78.04,6.173,8.11,6.184,6.184,
17.500,17.950,29.159,38.937,46084.526,1020.892,20.816,4.47,4.47,109.84,81.53,6.448,8.10,6.460,6.460,
17.600,17.949,29.160,38.937,46086.423,1020.894,20.817,4.46,4.46,111.96,70.39,5.566,8.11,5.577,5.576,
17.700,17.951,29.158,38.937,46083.422,1020.892,20.815,4.57,4.57,109.51,76.28,6.031,8.11,6.042,6.042,
17.800,17.949,29.184,38.966,46120.419,1020.913,20.835,5.02,5.02,115.23,72.23,5.710,8.11,5.720,5.720,
17.900,17.952,29.169,38.950,46098.555,1020.901,20.823,4.88,4.88,117.04,74.17,5.862,8.12,5.872,5.872,
18.000,17.949,29.173,38.954,46105.238,1020.905,20.827,5.15,5.15,121.45,71.14,5.621,8.11,5.632,5.632,
18.100,17.950,29.168,38.949,46098.724,1020.902,20.824,4.97,4.97,120.66,74.49,5.886,8.11,5.897,5.897,
18.200,17.950,29.167,38.947,46096.782,1020.902,20.822,4.94,4.94,118.56,75.63,5.977,8.11,5.988,5.988,
18.300,17.949,29.169,38.949,46099.821,1020.904,20.824,4.86,4.86,117.65,76.20,6.023,8.10,6.034,6.034,
18.400,17.949,29.169,38.949,46100.494,1020.905,20.825,4.74,4.74,120.09,75.65,5.979,8.11,5.991,5.991,
18.500,17.952,29.182,38.966,46117.351,1020.914,20.833,4.83,4.83,127.61,67.36,5.327,8.11,5.337,5.337,
