Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
13.500,20.970,0.095,0.180,197.467,998.133,-1.927,5.83,5.83,86.94,62.94,5.605,8.10,5.617,5.618,
13.600,20.971,0.095,0.179,196.680,998.133,-1.928,5.85,5.85,86.38,78.59,6.999,8.11,7.014,7.014,
13.700,20.972,0.095,0.179,196.668,998.133,-1.928,5.86,5.86,85.65,69.55,6.194,8.11,6.207,6.208,
13.800,20.971,0.094,0.179,196.614,998.134,-1.928,5.88,5.88,88.02,68.19,6.072,8.11,6.085,6.085,
13.900,20.971,0.094,0.179,196.217,998.134,-1.928,5.78,5.78,84.10,68.34,6.086,8.10,6.099,6.100,
14.000,20.971,0.094,0.179,196.525,998.135,-1.928,5.78,5.78,79.75,84.68,7.543,8.10,7.559,7.559,
14.100,20.971,0.095,0.179,196.660,998.135,-1.928,5.92,5.92,86.53,67.49,6.011,8.12,6.023,6.024,
14.200,20.971,0.095,0.179,196.867,998.136,-1.928,5.89,5.89,85.59,69.60,6.198,8.11,6.211,6.212,
14.300,20.971,0.094,0.179,196.524,998.136,-1.928,5.86,5.86,84.51,73.96,6.586,8.11,6.600,6.601,
14.400,20.971,0.095,0.179,196.907,998.137,-1.928,5.86,5.86,83.90,73.19,6.516,8.11,6.530,6.531,
14.500,20.972,0.094,0.179,196.435,998.137,-1.928,5.85,5.85,84.17,63.67,5.669,8.11,5.681,5.681,
14.600,20.972,0.094,0.179,196.193,998.137,-1.928,5.87,5.87,85.59,67.54,6.014,8.10,6.026,6.027,
14.700,20.971,0.094,0.179,196.469,998.138,-1.928,5.87,5.87,83.26,70.09,6.241,8.11,6.254,6.254,
14.800,20.972,0.095,0.179,196.854,998.138,-1.928,5.86,5.86,84.78,69.47,6.186,8.10,6.199,6.199,
14.900,20.970,0.095,0.180,197.531,998.139,-1.927,5.84,5.84,82.41,65.37,5.822,8.11,5.834,5.834,
15.000,20.970,0.095,0.180,197.468,998.140,-1.927,5.76,5.76,78.98,78.58,6.999,8.11,7.013,7.014,
15.100,20.970,0.095,0.180,197.446,998.140,-1.927,5.86,5.86,86.08,70.38,6.268,8.08,6.281,6.282,
15.200,20.971,0.095,0.180,197.441,998.141,-1.927,5.87,5.87,85.86,68.70,6.118,8.12,6.131,6.131,
15.300,20.970,0.095,0.180,197.874,998.141,-1.927,5.90,5.90,87.32,71.94,6.405,8.11,6.419,6.419,
15.400,20.970,0.095,0.180,198.043,998.142,-1.927,5.90,5.90,87.18,72.00,6.411,8.11,6.425,6.425,
15.500,20.970,0.095,0.180,197.618,998.142,-1.927,5.89,5.89,85.15,71.93,6.404,8.10,6.418,6.418,
15.600,20.970,0.095,0.180,197.335,998.143,-1.927,5.86,5.86,84.64,73.04,6.504,8.10,6.518,6.518,
